Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Dr. Anjali Shetty,Dentist,"BDS, MDS - Orthodontics",21,Kalyan Nagar,Bangalore,99,1528,500
Dr. Rashmi Shetty,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",18,Koramangala,Bangalore,99,4268,350
Dr. Ashish Shetty,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",24,HSR Layout,Bangalore,96,446,500
Dr. Lakshmi Roopesh,Dentist,BDS,19,HRBR Layout,Bangalore,98,658,500
Dr. Venkatesh M J,Dentist,BDS,28,Indiranagar,Bangalore,94,32,300
Dr. Jaswanth Reddy,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",17,Marathahalli,Bangalore,96,159,350
Dr. Kamal Odedra,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",12,Marathahalli,Bangalore,100,37,550
Dr. Pranay,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",13,Marathahalli,Bangalore,97,3307,550
Dr. Vinay Anvekar,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",20,BTM Layout 1st Stage,Bangalore,97,300,200
Dr. Krishnanand,Dentist,"BDS, MDS - Periodontics",12,Varthur,Bangalore,100,1605,200
Dr. Mahantesh,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",15,Sarjapur Road,Bangalore,99,1370,500
Dr. Mallayya R. Pujari,Dentist,"BDS, MDS - Oral Medicine and Radiology",17,Marathahalli,Bangalore,96,3922,200
Dr. Aman Sodhi,Dentist,"BDS, MDS - Oral Medicine and Radiology",21,Arekere,Bangalore,99,750,300
Dr. Pramod Kumar Pillai,Dentist,"BDS, Diploma in Implanthology",16,RT Nagar,Bangalore,100,186,400
Dr. Adarsha Kannan,Dentist,BDS,28,Seegehalli,Bangalore,95,77,400
Dr. Swetha Raghavendra,Dentist,BDS,21,Rajajinagar,Bangalore,96,120,300
Dr. (Col) M. C. Sharma,Dentist,"BDS, MDS - Prosthodontics",37,Frazer Town,Bangalore,96,944,500
Dr. Nishanth Shetty,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics, Fellowship in Aesthetic Medicine (FAM)",12,Whitefield,Bangalore,100,883,200
Dr. Yogesh T Lakkashetty,Dentist,"BDS, MDS- Oral Pathology",21,Sanjay Nagar,Bangalore,100,533,300
Dr. Sunila Sampath Kumar,Dentist,BDS,28,HSR Layout,Bangalore,94,306,400
Dr. Poorvi Shrivastava,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",12,Marathahalli,Bangalore,98,58,200
Dr. Krishna Swaroop Achanta,Dentist,BDS,8,Padmanabhanagar,Bangalore,100,281,250
Dr. Arati Sundar Rajan,Dentist,BDS,27,Basavanagudi,Bangalore,97,231,450
Dr. Raghavendra K,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",26,Rajajinagar,Bangalore,94,145,500
Dr. Raadhikka Karthhik,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",18,Yelahanka,Bangalore,96,291,300
Dr. Poojitha,Dentist,BDS,11,Kasturi nagar,Bangalore,96,103,200
Dr. Anju Thomas,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",12,Indiranagar,Bangalore,100,576,400
Dr. Madhumanti,Dentist,BDS,11,Hoodi,Bangalore,95,378,500
Dr. Vikram Shetty K,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",27,Jeevanbhimanagar,Bangalore,97,31,500
Dr. Anwar Syed,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",14,Panathur,Bangalore,99,323,300
Dr. Kirthiga M,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",16,Whitefield,Bangalore,99,72,300
Dr. Krishna Mohan Rao,Dentist,"BDS, Fellowship in Aesthetic Medicine (FAM)",19,Horamavu,Bangalore,96,178,600
Dr. Deepa Bullappa,Dentist,"BDS, MDS - Public Health Dentistry",14,Arekere,Bangalore,98,116,200
Dr. Sanjay N,Dentist,"BDS, MDS - Orthodontics",18,HBR Layout,Bangalore,97,374,300
Dr. Gopathi Haritha,Dentist,BDS,12,HSR Layout,Bangalore,97,59,300
Dr. Sirse Namrata,Dentist,BDS,11,Sarjapur Road,Bangalore,99,176,500
Dr. Praveen Rajesh,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",14,Whitefield,Bangalore,100,189,500
Dr. Priyanka Mehta,Dentist,MDS - Conservative Dentistry & Endodontics,4,Electronics City,Bangalore,100,59,350
Dr. Swati Kedia,Dentist,"BDS, MDS - Pedodontics",14,BTM Layout,Bangalore,99,290,500
Dr. Aditi Garg,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",15,HSR Layout,Bangalore,100,32,500
Dr. Punyatoya Sahoo,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",12,Kundalahalli,Bangalore,88,65,500
Dr. A. Divya,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",11,Siddapura,Bangalore,100,21,500
Dr. Jijo Jacob,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",11,Sahakaranagar,Bangalore,100,79,500
Dr. Mudit Kedia,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",14,BTM Layout,Bangalore,99,241,500
Dr. Lahari,Dentist,"MDS - Public Health Dentistry, BDS",16,HSR Layout,Bangalore,99,81,500
Dr. Shabbir Ulla Khan,Dentist,"BDS, MD - Acupressure",11,Jayanagar,Bangalore,98,104,350
Dr. Sridhar,Dentist,BDS,23,Banashankari 3rd Stage,Bangalore,98,214,200
Dr. Akanksha Kapoor,Dentist,BDS,9,KR Puram,Bangalore,100,499,200
Dr. Arti Misra Sharma,Dentist,BDS,13,JP Nagar 5 Phase,Bangalore,98,311,300
Dr. Khushboo Mishra,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",7,Vasanthnagar,Bangalore,100,47,600
Dr. Katta R Venkatesh,Dentist,"MDS - Periodontics, BDS",20,Banashankari 3rd Stage,Bangalore,97,248,300
Dr. Pooja Shetty,Dentist,BDS,4,Whitefield,Bangalore,100,54,300
Dr. Josin V Jose,Dentist,BDS,11,Bellandur,Bangalore,98,44,400
Dr. Jonathan Eric Rao,Dentist,BDS,15,Horamavu,Bangalore,99,205,400
Dr. Deepthi B,Dentist,BDS,13,Whitefield,Bangalore,95,20,500
Dr. Prithvi Raj K,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",11,Sarjapur Road,Bangalore,95,124,300
Dr. Sai Anusha Reddy,Dentist,BDS,10,BTM Layout 2nd Stage,Bangalore,99,70,300
Dr. Akshara Potluri,Dentist,BDS,11,Sarjapur Road,Bangalore,96,190,300
Dr. Sushant,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",12,Marathahalli,Bangalore,97,36,500
Dr. Monica Rao,Dentist,BDS,13,Jayanagar,Bangalore,98,81,300
Dr. Raghu T Narayan,Dentist,"BDS, MDS - Conservative Dentistry ",25,Indiranagar,Bangalore,94,197,500
Dr. Rohith B,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",15,Marathahalli,Bangalore,100,32,550
Dr. Kiran Raj N,Dentist,BDS,14,Banaswadi,Bangalore,100,177,400
Dr. Pragati S,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",6,Whitefield,Bangalore,100,23,300
Dr. Subash,Dentist,"MDS - Prosthodontics, BDS",30,Sarjapur Road,Bangalore,92,37,300
Dr. C Reddy Raghavendra,Dentist,BDS,11,Munnekollal,Bangalore,100,86,200
Dr. Sudha Koumudi,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",11,BTM Layout 2nd Stage,Bangalore,100,14,300
Dr. Abhisheak R Naik,Dentist,"BDS, MDS - Oral Medicine and Radiology",12,Harlur,Bangalore,100,350,200
Dr. Chandan Mahesh,Dentist,BDS,13,HSR Layout,Bangalore,100,1074,250
Dr. Roma Haider,Dentist,BDS,25,Koramangala 5 Block,Bangalore,97,39,600
Dr. Sathyadeep V,Dentist,"BDS, MDS - Orthodontics",17,BTM Layout 2nd Stage,Bangalore,99,840,400
Dr. Reema Naik Shetty,Dentist,BDS,20,Jeevanbhimanagar,Bangalore,88,16,500
Dr. Ramya,Dentist,"BDS, MDS - Prosthodontics",23,Indiranagar,Bangalore,94,2724,400
Dr. Basavaraj B,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",13,JP Nagar 8 Phase,Bangalore,100,23,250
Dr. Prity Bhagat Lohia,Dentist,"BDS, MDS - Periodontics",13,BTM Layout 1st Stage,Bangalore,99,127,400
Dr. K Bala Vikhram,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",19,HSR Layout,Bangalore,100,22,550
Dr. Archak Gayathri,Dentist,BDS,10,Kaggadasapura,Bangalore,97,246,300
Dr. Sayona Swati Das,Dentist,BDS,11,Murugeshpalya,Bangalore,100,26,500
Dr. Mata Sundeep,Dentist,BDS,13,Sahakaranagar,Bangalore,100,26,500
Dr. T. Ramakrishna,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",25,JP Nagar 5 Phase,Bangalore,95,711,500
Dr. Mridula Singh,Dentist,BDS,19,HSR Layout,Bangalore,97,1491,500
Dr. P S Lakshmi,Dentist,BDS,28,Bannerghatta Road,Bangalore,91,762,500
Dr. Karthikeyan B.V,Dentist,"BDS, MDS - Periodontics",23,Yelahanka,Bangalore,93,976,300
Dr. Ahraj,Dentist,BDS,7,Sarjapur Road,Bangalore,100,28,750
Dr. Neethu Raj,Dentist,BDS,11,Bellandur,Bangalore,100,15,400
Dr. Sruthi Ravindra,Dentist,"BDS, MDS - Prosthodontics",10,JP Nagar 7 Phase,Bangalore,98,41,400
Dr. Abhinav Diwan,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",24,Horamavu,Bangalore,99,176,400
Dr. Poonam Kumari,Dentist,BDS,4,BTM Layout,Bangalore,100,90,250
Dr. Priya Subash,Dentist,"BDS, MDS - Periodontics",23,Sarjapur Road,Bangalore,100,90,300
Dr. Umesh B M,Dentist,BDS,18,JP Nagar 6 Phase,Bangalore,100,201,300
Dr. Ekta,Dentist,BDS,6,Marathahalli,Bangalore,100,18,500
Dr. Saira Saba,Dentist,"BDS, MDS - Periodontics",16,JP Nagar 7 Phase,Bangalore,100,18,250
Dr. Shireen,Dentist,BDS,4,Belathur,Bangalore,100,32,400
Dr. Samar Mohapatra,Dentist,BDS,8,Marathahalli,Bangalore,100,12,200
Dr. Pamela Bhattacharjee,Dentist,BDS,24,Mahadevapura,Bangalore,98,566,350
Dr. Narayana Amrutha Deepthi,Dentist,"BDS, Fellowship in Medical Cosmetology (FMC)",12,Sahakaranagar,Bangalore,98,566,500
Dr. Shaktidar,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",14,Jayanagar,Bangalore,99,89,250
Dr. Devaraju Devaiah,Dentist,"BDS, MDS - Oral Medicine and Radiology",18,Yelahanka,Bangalore,99,360,550
Dr. Priya Verma,Dentist,BDS,27,Whitefield,Bangalore,97,545,500
Dr. Supreeth Manipal,Dentist,"BDS, MDS - Orthodontics",25,JP Nagar,Bangalore,98,297,350
Dr. Shilpa Shashikiran,Dentist,BDS,25,Sadashivanagar,Bangalore,99,691,500
Dr. Pranjal,Dentist,BDS,6,Electronics City,Bangalore,99,691,300
Dr. Hajira Nazeer,Dentist,BDS,11,Langford Road,Bangalore,95,21,300
Dr. KR Nagaraj,Dentist,MDS - Prosthodontics,33,Jayanagar 7 Block,Bangalore,99,221,500
Dr. Suresh S,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",29,JP Nagar 7 Phase,Bangalore,97,316,500
Dr. Bharath Shetty,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",24,HSR Layout,Bangalore,96,931,300
Dr. Utkarsha Lokesh,Dentist,"MDS - Oral & Maxillofacial Surgery, Fellowship in Aesthetic Medicine (FAM), BDS",25,Malleswaram,Bangalore,98,549,400
Dr. Sandhya Rachuri,Dentist,BDS,19,JP Nagar,Bangalore,99,256,350
Dr. Manjunath G S,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI",21,Kalyan Nagar,Bangalore,99,379,350
Dr. Lalith V Anand,Dentist,"BDS, MDS - Periodontics",23,HRBR Layout,Bangalore,99,379,300
Dr. Sujay Gopal,Dentist,"BDS, Fellowship in Oral implantlogy",16,Banashankari 3rd Stage,Bangalore,97,741,200
Dr. Archana Diwan,Dentist,BDS,23,Horamavu,Bangalore,99,83,400
Dr. Balasubramanya K V,Dentist,"BDS, MDS - Periodontics",22,Indiranagar,Bangalore,95,1033,400
Dr. Vijayendra R,Dentist,"MDS - Periodontics, BDS, MDS",48,BTM Layout 2nd Stage,Bangalore,100,94,350
Dr. Raghavendra,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",13,Kundalahalli,Bangalore,100,2021,200
Dr. Anupama Kiran,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",24,Whitefield,Bangalore,100,42,500
Dr. Shivanand V,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics, MOrth",17,Hebbal,Bangalore,99,734,250
Dr. Rajesh R N G,Dentist,"BDS, MDS - Orthodontics",25,West Of Chord Road,Bangalore,97,525,350
Dr. Idris Md,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",14,Jayanagar,Bangalore,99,341,300
Dr. Shivaprasad BM,Dentist,"BDS, MDS - Periodontics, FICOI",22,Gubbalala,Bangalore,100,69,300
Dr. Kim Upadhyay,Dentist,"BDS, MDS - Oral Medicine and Radiology",16,Sarjapur Road,Bangalore,96,133,400
Dr. Rajesh Naik,Dentist,"BDS, MDS - Periodontics, FICOI",25,Kalyan Nagar,Bangalore,98,321,500
Dr. Vinod,Dentist,"BDS, MDS - Orthodontics",19,Horamavu,Bangalore,98,700,400
Dr. Pavan Tambakad,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",26,Koramangala,Bangalore,93,242,400
Dr. Raju Srinivas,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics, Diploma in Implanthology",27,Jayanagar,Bangalore,97,183,500
Dr. Kavitha K,Dentist,BDS,14,Electronics City,Bangalore,99,245,350
Dr. Abhilash Ravindranath,Dentist,"MDS- Oral Pathology, BDS",20,HSR Layout,Bangalore,97,2191,500
Dr. Namratha Umesh,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",24,Sahakaranagar,Bangalore,98,338,500
Dr. Rohit Nair,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",9,Belathur,Bangalore,99,548,400
Dr. Sushma B T,Dentist,BDS,13,JP Nagar 6 Phase,Bangalore,100,12,350
Dr. Dimple Bhatiya,Dentist,BDS,9,Varthur,Bangalore,100,148,200
Dr. Bharath,Dentist,BDS,17,Singasandra,Bangalore,100,496,400
Dr. Deepak,Dentist,"BDS, MDS - Oral Medicine and Radiology",15,Munnekollal,Bangalore,99,682,300
Dr. Shilpashree S,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",16,Rajarajeshwarinagar,Bangalore,99,682,500
Dr. Shilpa I.G,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",16,Singasandra,Bangalore,99,258,300
Dr. Smitha Nagaraj,Dentist,BDS,23,Jayanagar 7 Block,Bangalore,100,286,500
Dr. Bijina Rajan,Dentist,"BDS, MDS - Oral Medicine and Radiology",13,Kalyan Nagar,Bangalore,99,527,300
Dr. Sandeep,Dentist,BDS,20,Indiranagar,Bangalore,94,883,500
Dr. Sowmya,Dentist,BDS,19,New BEL Road,Bangalore,98,246,300
Dr. Sarath Chandra,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",15,Munnekollal,Bangalore,95,106,200
Dr. Neetu Punhani,Dentist,"MDS - Oral Medicine and Radiology, BDS",19,Kasturi nagar,Bangalore,88,52,300
Dr. Parikshith H M,Dentist,"BDS, MDS - Periodontics",7,Whitefield,Bangalore,88,52,500
Dr. Srihari  V,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",20,KR Puram,Bangalore,99,490,500
Dr. Deepak Daryani,Dentist,"MDS - Oral Medicine and Radiology, BDS",20,HSR Layout,Bangalore,99,908,500
Dr. Sharanya Sabrish,Dentist,"BDS, MDS - Orthodontics",17,Indiranagar,Bangalore,99,118,500
Dr. Rashmi Sandeep,Dentist,BDS,19,Indiranagar,Bangalore,96,447,500
Dr. P Rajesh,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",19,JP Nagar,Bangalore,99,225,300
Dr. Sujatha Pai B,Dentist,"BDS, MDS - Periodontology and Oral Implantology",22,Jayanagar 4 Block,Bangalore,97,114,500
Dr. George Jeevan,Dentist,BDS,20,Koramangala,Bangalore,99,2738,500
Dr. Shamaz Mohamed,Dentist,"BDS, MDS - Community Dentistry",20,Wilson Garden,Bangalore,100,200,500
Dr. Dinesh,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",15,Nandini Layout,Bangalore,96,53,200
Dr. Amrith Kiran Shetty,Dentist,BDS,20,Banaswadi,Bangalore,96,609,500
Dr. Sindhu Haldal,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",14,JP Nagar,Bangalore,99,222,300
Dr. Ravi Sinha,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge, MFGDP - Membership of the Faculty of General Dental Practitioners",13,Koramangala,Bangalore,100,242,400
Dr. Konthoujam Sulochana,Dentist,BDS,13,Murugeshpalya,Bangalore,100,131,300
Dr. Aravind M,Dentist,"BDS, MDS - Orthodontics",20,Yelahanka New Town,Bangalore,95,116,350
Dr. Suchitra,Dentist,BDS,24,West Of Chord Road,Bangalore,97,226,350
Dr. Akanksha S.D,Dentist,"BDS, MDS - Oral Medicine and Radiology",14,Kundalahalli,Bangalore,97,256,350
Dr. Vikram V Kamath,Dentist,BDS,14,Hegde Nagar,Bangalore,96,26,500
Dr. Afna Salam,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",12,Varthur,Bangalore,99,88,300
Dr. Shailaja Karthick Prasad,Dentist,"BDS, MFDS RCS",23,Brigade Road,Bangalore,100,136,650
Dr. Shwetha,Dentist,BDS,18,Indiranagar,Bangalore,96,256,500
Dr. Satheesh Kumar K.S,Dentist,"BDS, MDS - Prosthodontics",21,Arekere,Bangalore,98,883,500
Dr. Shambulinga,Dentist,BDS,33,HSR Layout,Bangalore,93,56,0
Dr. Naveen N,Dentist,"BDS, MDS - Community Dentistry",22,Rajarajeshwarinagar,Bangalore,97,199,300
Dr. Gokulraj T.R,Dentist,BDS,8,Yelahanka,Bangalore,97,199,350
Dr. Litta Abraham,Dentist,BDS,5,Koramangala 4 Block,Bangalore,97,199,350
Dr. Suhas Prabhakar,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",14,Bannerghatta Road,Bangalore,98,46,300
Dr. Narayan Babu,Dentist,BDS,15,HSR Layout,Bangalore,99,1319,800
Dr. NAKUL RATHI,Dentist,BDS,14,Marathahalli,Bangalore,96,73,500
Dr. Aarthi Shankar,Dentist,BDS,18,Sarjapur Road,Bangalore,99,105,400
Dr. Rhea Mathew,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",8,New BEL Road,Bangalore,96,27,300
Dr. Archana S,Dentist,BDS,17,HSR Layout,Bangalore,99,171,300
Dr. Silju Mathew,Dentist,"BDS, MDS - Orthodontics",33,New BEL Road,Bangalore,100,14,500
Dr. Akash Shaju,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",10,Kasturi nagar,Bangalore,100,19,300
Dr. Roshan Kumar,Dentist,BDS,19,JP Nagar,Bangalore,97,492,400
Dr. Aparna Narayan,Dentist,BDS,14,Whitefield,Bangalore,100,69,350
Dr. Vathsala Naik,Dentist,"BDS, MDS - Oral Medicine and Radiology",40,Indiranagar,Bangalore,100,47,500
Dr. Shweta Kumari,Dentist,"MDS - Periodontology and Oral Implantology, BDS",16,Harlur,Bangalore,98,361,300
Dr. Manik Chowdhury,Dentist,BDS,12,Bannerghatta Road,Bangalore,99,200,500
Dr. Prahlad Shenava,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics, MOrth",13,HSR Layout,Bangalore,99,68,500
Dr. Saurabh Gupta,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",14,Kanakpura Road,Bangalore,100,31,500
Dr. Karishma Mohanani,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",6,Munnekollal,Bangalore,100,15,300
Dr. NG Sylvia Kune,Dentist,BDS,7,HAL 2nd Stage,Bangalore,96,23,500
Dr. Latha Subramanya,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",31,JP Nagar 2 Phase,Bangalore,97,304,300
Dr. Medha Gupta,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",10,Domlur,Bangalore,99,91,500
Dr. Kusum Bashetty,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",20,Akshaya nagar,Bangalore,99,307,500
Dr. Jayalakshmi S,Dentist,BDS,12,Vidyaranyapura,Bangalore,99,307,300
Dr. Samanvitha Shetty,Dentist,BDS,21,Rajajinagar,Bangalore,99,186,300
Dr. Sangeeta Honnur,Dentist,BDS,28,Bellandur,Bangalore,96,1823,400
Dr. Aravind Srinivas,Dentist,"BDS, MDS - Orthodontics",23,Jakkur,Bangalore,91,165,300
Dr. Kavitha J,Dentist,BDS,27,Bannerghatta Road,Bangalore,97,64,300
Dr. Pallavi Manju Prasad,Dentist,BDS,8,Whitefield,Bangalore,97,64,300
Dr. Trilochani Prabhakar,Dentist,BDS,44,Bannerghatta Road,Bangalore,97,64,200
Dr. Kiran D N,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",27,Whitefield,Bangalore,99,83,500
Dr. Navya B Kalaikar,Dentist,BDS,18,Yelahanka,Bangalore,96,104,500
Dr. Pavan T.P,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",14,Rajarajeshwarinagar,Bangalore,98,254,400
Dr. Zeena Hanif,Dentist,"BDS, Fellowship in Oral implantlogy",12,Nagawara,Bangalore,99,174,300
Dr. Reetu Singh,Dentist,BDS,15,Jalahalli,Bangalore,100,50,300
Dr. Shilpa,Dentist,BDS,15,Hennur,Bangalore,98,83,300
Dr. Nakul BK,Dentist,BDS,7,HSR Layout,Bangalore,98,50,600
Dr. Asmita,Dentist,BDS,25,Bellandur,Bangalore,92,52,400
Dr. Chetak Shetty,Dentist,"BDS, MDS - Orthodontics",25,Rajajinagar,Bangalore,99,164,300
Dr. Pritee Ray,Dentist,BDS,15,Sarjapur Road,Bangalore,100,68,350
Dr. Shibani Shetty,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",20,Yelahanka New Town,Bangalore,100,216,300
Dr. Akanksha Sachdeva,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",12,Indiranagar,Bangalore,100,43,1000
Dr. Vijayatha Shetty,Dentist,BDS,12,Banaswadi,Bangalore,94,16,500
Dr. Sandeep Hegde,Dentist,BDS,30,BTM Layout 2nd Stage,Bangalore,99,1289,400
Dr. Ameet Kini,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",22,Jayanagar 4 Block,Bangalore,99,374,500
Dr. Nisar Ahmed,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",10,Marathahalli,Bangalore,100,54,200
Dr. Santhosha S Kharvi,Dentist,"BDS, Fellowship in Oral implantlogy",23,Hennur,Bangalore,97,94,400
Dr. Shagun Agarwal,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",7,Indiranagar,Bangalore,97,94,500
Dr. Rupali Wankhede Panpate,Dentist,BDS,18,Kasturi nagar,Bangalore,98,106,400
Dr. Beena Gopi,Dentist,BDS,21,Richmond Town,Bangalore,100,115,300
Dr. Mridula Radhakrishnan,Dentist,BDS,16,Indiranagar,Bangalore,100,15,500
Dr. Prabala K V,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",12,Yelahanka New Town,Bangalore,99,109,350
Dr. Seema Satish,Dentist,"BDS, PGD - Oral & Maxillofacial Surgery and Oral Implantology",17,Koramangala 1 Block,Bangalore,100,24,300
Dr. Neha Rajni,Dentist,"BDS, MDS - Orthodontics",19,Sarjapur Road,Bangalore,96,371,500
Dr. Nita Kashyap,Dentist,BDS,12,CV Raman Nagar,Bangalore,99,411,700
Dr. Amith Kukke,Dentist,BDS,21,JP Nagar 2 Phase,Bangalore,95,886,500
Dr. Santosh B S,Dentist,MDS - Oral & Maxillofacial Surgery,20,Singasandra,Bangalore,99,146,300
Dr. Mohan K B,Dentist,"BDS, MDS - Orthodontics",21,RMV 2nd Stage,Bangalore,97,39,300
Dr. Mahendra K P,Dentist,BDS,23,Banashankari 1st Stage,Bangalore,98,50,300
Dr. D.S. Chandrashekar,Dentist,BDS,24,BTM Layout 2nd Stage,Bangalore,97,117,500
Dr. Sheetal Shetty,Dentist,BDS,27,Ulsoor,Bangalore,98,44,500
Dr. Chandni Gupta Menon,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",6,Marathahalli,Bangalore,100,19,200
Dr. A Rahim Khan,Dentist,"BDS, MDS - Orthodontics",20,Indiranagar,Bangalore,98,369,500
Dr. Nikesh Reddy C,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",14,Kundalahalli,Bangalore,98,369,300
Dr. Swati Vishwakarma,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",13,Kothanur,Bangalore,97,30,300
Dr. Shiva Kumar.P.B,Dentist,BDS,21,Sahakaranagar,Bangalore,99,806,400
Dr. Shubha C N,Dentist,BDS,18,HRBR Layout,Bangalore,99,806,300
